 400.0 -100.   5.9346   5.9346   5.9346
 420.0  -82.   2.5988   2.5988   2.5988
 420.0  -81.   2.5550   2.5550   2.5550
 420.0  -80.   2.5112   2.5112   2.5112
 420.0  -79.   2.4714   2.4714   2.4714
 420.0  -78.   2.4376   2.4376   2.4376
 420.0  -77.   2.4027   2.4027   2.4027
 420.0  -76.   2.3704   2.3704   2.3704
 420.0  -75.   2.3407   2.3407   2.3407
 420.0  -74.   2.3120   2.3120   2.3120
 420.0  -73.   2.2846   2.2846   2.2846
 420.0  -72.   2.2573   2.2573   2.2573
 420.0  -71.   2.2318   2.2318   2.2318
 420.0  -70.   2.2085   2.2085   2.2085
 420.0  -69.   2.1819   2.1819   2.1819
 420.0  -68.   2.1577   2.1577   2.1577
 420.0  -67.   2.1335   2.1335   2.1335
 420.0  -66.   2.1088   2.1088   2.1088
 420.0  -65.   2.0857   2.0857   2.0857
 420.0  -64.   2.0596   2.0596   2.0596
 420.0  -63.   2.0343   2.0343   2.0343
 420.0  -62.   2.0072   2.0072   2.0072
 420.0  -61.   1.9810   1.9810   1.9810
 420.0  -60.   1.9533   1.9533   1.9533
 420.0  -59.   1.9267   1.9267   1.9267
 420.0  -58.   1.8980   1.8980   1.8980
 420.0  -57.   1.8687   1.8687   1.8687
 420.0  -56.   1.8396   1.8396   1.8396
 420.0  -55.   1.8083   1.8083   1.8083
 420.0  -54.   1.7781   1.7781   1.7781
 420.0  -53.   1.7466   1.7466   1.7466
 420.0  -52.   1.7141   1.7141   1.7141
 420.0  -51.   1.6819   1.6819   1.6819
 420.0  -50.   1.6487   1.6487   1.6487
 420.0  -49.   1.6158   1.6158   1.6158
 420.0  -48.   1.5819   1.5819   1.5819
 420.0  -47.   1.5485   1.5485   1.5485
 420.0  -46.   1.5141   1.5141   1.5141
 420.0  -45.   1.4806   1.4806   1.4806
 420.0  -44.   1.4460   1.4460   1.4460
 420.0  -43.   1.4116   1.4116   1.4116
 420.0  -42.   1.3782   1.3782   1.3782
 420.0  -41.   1.3441   1.3441   1.3441
 420.0  -40.   1.3107   1.3107   1.3107
 420.0  -39.   1.2772   1.2772   1.2772
 420.0  -38.   1.2446   1.2446   1.2446
 420.0  -37.   1.2120   1.2120   1.2120
 420.0  -36.   1.1796   1.1796   1.1796
 420.0  -35.   1.1487   1.1487   1.1487
 420.0  -34.   1.1174   1.1174   1.1174
 420.0  -33.   1.0867   1.0867   1.0867
 420.0  -32.   1.0576   1.0576   1.0576
 420.0  -31.   1.0282   1.0282   1.0282
 420.0  -30.   1.0000   1.0000   1.0000
 420.0  -29.   0.9720   0.9720   0.9720
 420.0  -28.   0.9449   0.9449   0.9449
 420.0  -27.   0.9188   0.9188   0.9188
 420.0  -26.   0.8928   0.8928   0.8928
 420.0  -25.   0.8680   0.8680   0.8680
 420.0  -24.   0.8439   0.8439   0.8439
 420.0  -23.   0.8203   0.8203   0.8203
 420.0  -22.   0.7974   0.7974   0.7974
 420.0  -21.   0.7753   0.7753   0.7753
 420.0  -20.   0.7537   0.7537   0.7537
 420.0  -19.   0.7329   0.7329   0.7329
 420.0  -18.   0.7129   0.7129   0.7129
 420.0  -17.   0.6935   0.6935   0.6935
 420.0  -16.   0.6747   0.6747   0.6747
 420.0  -15.   0.6565   0.6565   0.6565
 420.0  -14.   0.6388   0.6388   0.6388
 420.0  -13.   0.6218   0.6218   0.6218
 420.0  -12.   0.6053   0.6053   0.6053
 420.0  -11.   0.5895   0.5895   0.5895
 420.0  -10.   0.5741   0.5741   0.5741
 420.0   -9.   0.5593   0.5593   0.5593
 420.0   -8.   0.5450   0.5450   0.5450
 420.0   -7.   0.5312   0.5312   0.5312
 420.0   -6.   0.5178   0.5178   0.5178
 420.0   -5.   0.5050   0.5050   0.5050
 420.0   -4.   0.4926   0.4926   0.4926
 420.0   -3.   0.4807   0.4807   0.4807
 420.0   -2.   0.4691   0.4691   0.4691
 420.0   -1.   0.4579   0.4579   0.4579
 420.0    0.   0.4471   0.4471   0.4471
 420.0    1.   0.4579   0.4579   0.4579
 420.0    2.   0.4691   0.4691   0.4691
 420.0    3.   0.4807   0.4807   0.4807
 420.0    4.   0.4926   0.4926   0.4926
 420.0    5.   0.5050   0.5050   0.5050
 420.0    6.   0.5178   0.5178   0.5178
 420.0    7.   0.5312   0.5312   0.5312
 420.0    8.   0.5450   0.5450   0.5450
 420.0    9.   0.5593   0.5593   0.5593
 420.0   10.   0.5741   0.5741   0.5741
 420.0   11.   0.5895   0.5895   0.5895
 420.0   12.   0.6053   0.6053   0.6053
 420.0   13.   0.6218   0.6218   0.6218
 420.0   14.   0.6388   0.6388   0.6388
 420.0   15.   0.6565   0.6565   0.6565
 420.0   16.   0.6747   0.6747   0.6747
 420.0   17.   0.6935   0.6935   0.6935
 420.0   18.   0.7129   0.7129   0.7129
 420.0   19.   0.7329   0.7329   0.7329
 420.0   20.   0.7537   0.7537   0.7537
 420.0   21.   0.7753   0.7753   0.7753
 420.0   22.   0.7974   0.7974   0.7974
 420.0   23.   0.8203   0.8203   0.8203
 420.0   24.   0.8439   0.8439   0.8439
 420.0   25.   0.8680   0.8680   0.8680
 420.0   26.   0.8928   0.8928   0.8928
 420.0   27.   0.9188   0.9188   0.9188
 420.0   28.   0.9449   0.9449   0.9449
 420.0   29.   0.9720   0.9720   0.9720
 420.0   30.   1.0000   1.0000   1.0000
 420.0   31.   1.0282   1.0282   1.0282
 420.0   32.   1.0576   1.0576   1.0576
 420.0   33.   1.0867   1.0867   1.0867
 420.0   34.   1.1174   1.1174   1.1174
 420.0   35.   1.1487   1.1487   1.1487
 420.0   36.   1.1796   1.1796   1.1796
 420.0   37.   1.2120   1.2120   1.2120
 420.0   38.   1.2446   1.2446   1.2446
 420.0   39.   1.2772   1.2772   1.2772
 420.0   40.   1.3107   1.3107   1.3107
 420.0   41.   1.3441   1.3441   1.3441
 420.0   42.   1.3782   1.3782   1.3782
 420.0   43.   1.4116   1.4116   1.4116
 420.0   44.   1.4460   1.4460   1.4460
 420.0   45.   1.4806   1.4806   1.4806
 420.0   46.   1.5141   1.5141   1.5141
 420.0   47.   1.5485   1.5485   1.5485
 420.0   48.   1.5819   1.5819   1.5819
 420.0   49.   1.6158   1.6158   1.6158
 420.0   50.   1.6487   1.6487   1.6487
 420.0   51.   1.6819   1.6819   1.6819
 420.0   52.   1.7141   1.7141   1.7141
 420.0   53.   1.7466   1.7466   1.7466
 420.0   54.   1.7781   1.7781   1.7781
 420.0   55.   1.8083   1.8083   1.8083
 420.0   56.   1.8396   1.8396   1.8396
 420.0   57.   1.8687   1.8687   1.8687
 420.0   58.   1.8980   1.8980   1.8980
 420.0   59.   1.9267   1.9267   1.9267
 420.0   60.   1.9533   1.9533   1.9533
 420.0   61.   1.9810   1.9810   1.9810
 420.0   62.   2.0072   2.0072   2.0072
 420.0   63.   2.0343   2.0343   2.0343
 420.0   64.   2.0596   2.0596   2.0596
 420.0   65.   2.0857   2.0857   2.0857
 420.0   66.   2.1088   2.1088   2.1088
 420.0   67.   2.1335   2.1335   2.1335
 420.0   68.   2.1577   2.1577   2.1577
 420.0   69.   2.1819   2.1819   2.1819
 420.0   70.   2.2085   2.2085   2.2085
 420.0   71.   2.2318   2.2318   2.2318
 420.0   72.   2.2573   2.2573   2.2573
 420.0   73.   2.2846   2.2846   2.2846
 420.0   74.   2.3120   2.3120   2.3120
 420.0   75.   2.3407   2.3407   2.3407
 420.0   76.   2.3704   2.3704   2.3704
 420.0   77.   2.4027   2.4027   2.4027
 420.0   78.   2.4376   2.4376   2.4376
 420.0   79.   2.4714   2.4714   2.4714
 420.0   80.   2.5112   2.5112   2.5112
 420.0   81.   2.5550   2.5550   2.5550
 420.0   82.   2.5988   2.5988   2.5988
 420.0   83.   2.6503   2.6503   2.6503
 420.0   84.   2.7055   2.7055   2.7055
 420.0   85.   2.7652   2.7652   2.7652
 420.0   86.   2.8339   2.8339   2.8339
 420.0   87.   2.9056   2.9056   2.9056
 420.0   88.   2.9920   2.9920   2.9920
 420.0   89.   3.0867   3.0867   3.0867
 420.0   90.   3.1894   3.1894   3.1894
