 400.0 -100.   4.4186   5.6847   5.6389
 410.0   12.   0.9699   1.0065   1.0101
 410.0   13.   0.9738   1.0074   1.0102
 410.0   14.   0.9776   1.0073   1.0101
 410.0   15.   0.9810   1.0067   1.0096
 410.0   16.   0.9829   1.0063   1.0087
 410.0   17.   0.9856   1.0057   1.0079
 410.0   18.   0.9865   1.0047   1.0064
 410.0   19.   0.9882   1.0036   1.0057
 410.0   20.   0.9893   1.0030   1.0042
 410.0   21.   0.9909   1.0025   1.0034
 410.0   22.   0.9919   1.0018   1.0025
 410.0   23.   0.9921   1.0008   1.0015
 410.0   24.   0.9928   1.0005   1.0011
 410.0   25.   0.9942   0.9999   1.0005
 410.0   26.   0.9946   0.9999   1.0004
 410.0   27.   0.9971   0.9996   1.0001
 410.0   28.   0.9970   0.9998   0.9996
 410.0   29.   0.9990   0.9996   0.9995
 410.0   30.   1.0000   1.0000   1.0000
 410.0   31.   1.0014   1.0000   1.0002
 410.0   32.   1.0034   1.0004   1.0008
 410.0   33.   1.0041   1.0013   1.0010
 410.0   34.   1.0070   1.0017   1.0017
 410.0   35.   1.0086   1.0026   1.0020
 410.0   36.   1.0107   1.0029   1.0028
 410.0   37.   1.0115   1.0038   1.0030
 410.0   38.   1.0144   1.0049   1.0046
 410.0   39.   1.0160   1.0056   1.0048
 410.0   40.   1.0179   1.0076   1.0063
 410.0   41.   1.0203   1.0080   1.0073
 410.0   42.   1.0231   1.0099   1.0086
 410.0   43.   1.0243   1.0109   1.0094
 410.0   44.   1.0279   1.0125   1.0105
 410.0   45.   1.0299   1.0134   1.0121
 410.0   46.   1.0322   1.0156   1.0139
 410.0   47.   1.0349   1.0171   1.0151
 410.0   48.   1.0380   1.0190   1.0167
 410.0   49.   1.0414   1.0201   1.0186
 410.0   50.   1.0429   1.0226   1.0198
 410.0   51.   1.0448   1.0244   1.0223
 410.0   52.   1.0494   1.0265   1.0242
 410.0   53.   1.0520   1.0277   1.0264
 410.0   54.   1.0549   1.0304   1.0278
 410.0   55.   1.0557   1.0323   1.0306
 410.0   56.   1.0593   1.0344   1.0326
 410.0   57.   1.0632   1.0368   1.0349
 410.0   58.   1.0648   1.0395   1.0375
 410.0   59.   1.0695   1.0426   1.0392
 410.0   60.   1.0718   1.0446   1.0424
 410.0   61.   1.0743   1.0470   1.0448
 410.0   62.   1.0772   1.0509   1.0474
 410.0   63.   1.0832   1.0539   1.0515
 410.0   64.   1.0838   1.0571   1.0534
 410.0   65.   1.0876   1.0606   1.0569
 410.0   66.   1.0917   1.0630   1.0607
 410.0   67.   1.0961   1.0671   1.0648
 410.0   68.   1.1008   1.0700   1.0678
 410.0   69.   1.1028   1.0748   1.0725
 410.0   70.   1.1082   1.0783   1.0762
 410.0   71.   1.1140   1.0836   1.0801
 410.0   72.   1.1167   1.0877   1.0843
 410.0   73.   1.1231   1.0921   1.0888
 410.0   74.   1.1265   1.0969   1.0951
 410.0   75.   1.1301   1.1019   1.1003
 410.0   76.   1.1376   1.1073   1.1057
 410.0   77.   1.1418   1.1129   1.1100
 410.0   78.   1.1500   1.1189   1.1161
 410.0   79.   1.1549   1.1253   1.1226
 410.0   80.   1.1640   1.1320   1.1295
 410.0   81.   1.1696   1.1391   1.1367
 410.0   82.   1.1795   1.1466   1.1443
 410.0   83.   1.1858   1.1544   1.1505
 410.0   84.   1.1966   1.1627   1.1589
 410.0   85.   1.2038   1.1714   1.1678
 410.0   86.   1.2156   1.1805   1.1770
 410.0   87.   1.2281   1.1880   1.1848
 410.0   88.   1.2366   1.1980   1.1950
 410.0   89.   1.2502   1.2085   1.2056
