Basename,Opt. Per.,N. Lines,Avg. Lon.,Avg. Lat.,Avg. Zen.,RDN,LOC,OBS,TIM,LBL,L0,Temperature,Beta Angle
M3G20090717T211202,OP2C,233,20.744,-79.609,98.945,0,1,1,1,0,0,156.7539978,28.9
M3G20090717T211502,OP2C,30508,-148.006,-18.504,49.577,1,1,1,1,1,1,156.5319977,28.9
M3G20090718T012742,OP2C,233,18.336,-79.891,98.679,0,1,1,1,0,0,156.5319977,29.04
M3G20090718T014252,OP2C,30154,-150.681,15.467,48.683,1,1,1,1,1,1,156.5319977,29.04
M3G20090718T054312,OP2C,233,15.922,-79.714,98.801,0,1,1,1,0,0,156.7539978,29.24
M3G20090718T054612,OP2C,30642,-151.738,-18.042,49.748,1,1,1,1,1,1,156.6799927,29.24
M3G20090718T095842,OP2C,233,13.563,-79.521,98.941,0,1,1,1,0,0,156.6799927,29.38
M3G20090718T101402,OP2C,29701,-149.739,15.641,48.862,1,1,1,1,1,1,156.5319977,29.42
M3G20090719T071631,OP2C,226,1.603,-79.295,98.996,0,1,1,1,0,0,160.6300049,30.24
M3G20090719T073150,OP2C,14999,-175.038,-20.989,39.941,1,1,1,1,1,1,160.0039978,30.24
M3G20090719T075717,OP2C,14870,-13.138,51.269,58.451,1,1,1,1,1,1,160.0039978,30.24
M3G20090719T113211,OP2C,232,-0.726,-79.487,98.816,0,1,1,1,0,0,157.345993,30.43
M3G20090719T113510,OP2C,22283,-109.845,-37.289,51.698,1,1,1,1,1,1,157.2720032,30.43
M3G20090719T121342,OP2C,7857,47.301,36.569,46.797,1,1,1,1,1,1,156.9019928,30.43
M3G20090719T154741,OP2C,228,-2.919,-79.187,99.058,0,1,1,1,0,0,156.4579926,30.57
M3G20090719T160300,OP2C,30156,384.991,15.307,49.482,0,1,1,1,0,0,156.3099976,30.62
M3G20090719T200321,OP2C,233,-5.286,-79.364,98.886,0,1,1,1,0,0,156.3099976,30.76
M3G20090719T200620,OP2C,14707,322.462,-56.736,62.528,0,1,1,1,0,0,156.1660004,30.76
M3G20090719T203200,OP2C,15512,177.227,18.266,39.756,1,1,1,1,1,1,156.1660004,30.76
M3G20090720T001900,OP2C,232,-7.28,-79.541,98.753,0,1,1,1,0,0,156.1660004,30.9
M3G20090720T003411,OP2C,30250,194.138,15.443,49.793,1,1,1,1,1,1,156.0220032,30.9
M3G20090720T043440,OP2C,232,-9.695,-79.706,98.587,0,1,1,1,0,0,156.0939941,31.1
M3G20090720T043741,OP2C,30648,193.813,-17.895,50.778,1,1,1,1,1,1,155.949997,31.1
M3G20090720T085010,OP2C,233,-12.006,-79.419,98.806,0,1,1,1,0,0,156.0220032,31.23
M3G20090720T090521,OP2C,30250,177.156,15.342,49.99,1,1,1,1,1,1,155.8779907,31.28
