Gchl,Gwvl,Tchn,Twvl,Tfwhm,Tchn,Gchn
0,0,212,2512.08,12.7,212,74
0,0,213,2522.06,12.7,213,75
0,0,214,2532.04,12.69,214,75
0,0,215,2542.03,12.69,215,75
0,0,216,2552.01,12.68,216,75
0,0,217,2561.99,12.67,217,76
0,0,218,2571.97,12.67,218,76
0,0,219,2581.95,12.66,219,76
0,0,220,2591.93,12.65,220,76
0,0,221,2601.91,12.65,221,77
0,0,222,2611.89,12.64,222,77
0,0,223,2621.87,12.63,223,77
0,0,224,2631.85,12.63,224,77
0,0,225,2641.83,12.62,225,78
0,0,226,2651.82,12.61,226,78
0,0,227,2661.8,12.6,227,78
0,0,228,2671.78,12.59,228,78
0,0,229,2681.76,12.58,229,79
0,0,230,2691.74,12.58,230,79
0,0,231,2701.72,12.57,231,79
0,0,232,2711.7,12.56,232,79
0,0,233,2721.68,12.55,233,80
0,0,234,2731.66,12.54,234,80
0,0,235,2741.64,12.53,235,80
0,0,236,2751.63,12.52,236,80
0,0,237,2761.61,12.51,237,81
0,0,238,2771.59,12.5,238,81
0,0,239,2781.57,12.48,239,81
0,0,240,2791.55,12.47,240,81
0,0,241,2801.53,12.46,241,82
0,0,242,2811.51,12.45,242,82
0,0,243,2821.49,12.44,243,82
0,0,244,2831.47,12.42,244,82
0,0,245,2841.45,12.41,245,83
0,0,246,2851.44,12.4,246,83
0,0,247,2861.42,12.38,247,83
0,0,248,2871.4,12.37,248,83
0,0,249,2881.38,12.36,249,84
0,0,250,2891.36,12.34,250,84
0,0,251,2901.34,12.33,251,84
0,0,252,2911.32,12.31,252,84
0,0,253,2921.3,12.3,253,85
0,0,254,2931.28,12.28,254,85
0,0,255,2941.26,12.27,255,85
0,0,256,2951.25,12.25,256,85
0,0,257,2961.23,12.23,257,86
0,0,258,2971.21,12.22,258,86
0,0,259,2981.19,12.2,259,86
0,0,260,2991.17,12.18,260,86
