Wavelength (nm),KRC1,OP1b_H4_GT,K-EFF_1-O3,K-EFF_1-O4,K-EFF_1-O5,K-EFF_1-O6,K-EFF_1-O7,K-EFF_1-O8,K-EFF_1-O9,K-EFF_1-O10,K-EFF_1-O11,K-EFF_1-O12,K-EFF_1-O13,K-EFF_1-O14,K-EFF_1-O15,K-EFF_1-O16,K-EFF_1-O17,K-EFF_1-O18,K-EFF_1-O19,K-EFF_1-O20,K-EFF_1-O21,K-EFF_1-O22,K-EFF_1-O23,K-EFF_1-O24,K-EFF_1-O25,K-EFF_1-O26,K-EFF_1-O27,K-EFF_1-O28,K-EFF_1-O29,K-EFF_1-O30,K-EFF_1-O31,K-EFF_1-O32,K-EFF_1-O33,K-EFF_1-O34,K-EFF_1-O35
1109.76001,0.991041,1.139435482,0.983469009,0.985920012,0.988458991,0.990832984,0.991527021,0.986781001,0.988463998,1.00564003,0.999547005,0.999827027,0.999683976,0.998552024,0.996695995,0.995585978,0.996500015,0.995814025,0.995801985,0.99505198,0.994982004,0.996594012,0.996366978,0.997952998,1.000108957,0.99911201,0.999745011,0.999749005,0.999370992,0.999339998,0.999280989,0.999532998,0.999167025,0.999163985,0.999877989
1129.719971,0.986951,1.128020189,0.977192998,0.979869008,0.981046975,0.979930997,0.985333979,0.980795979,0.983228981,1.000781059,0.994768977,0.995112002,0.994847,0.993659973,0.992051005,0.991348028,0.991702974,0.991617978,0.991604984,0.991447985,0.99119103,0.992416024,0.992808998,0.994723022,0.996159017,0.996725023,0.997784019,0.997797012,0.997976005,0.997913003,0.997883976,0.997476995,0.996814013,0.996755004,0.996654987
1149.680054,0.985704,1.12201116,0.975727022,0.978428006,0.978658974,0.974376023,0.983604014,0.979879975,0.982937992,0.999355018,0.994105995,0.994621992,0.994226992,0.993312001,0.992448986,0.991882026,0.991680026,0.992534995,0.992540002,0.993041992,0.992617011,0.993655026,0.994310975,0.996399999,0.997380018,0.999032974,1.000067949,1.000056982,1.000512958,1.000466943,1.000455976,0.999035001,0.99840802,0.998372972,0.997515023
1169.640015,0.98615,1.118528529,0.976047993,0.978699982,0.978341997,0.971908987,0.983344972,0.980756998,0.984328985,0.998789012,0.994723976,0.995405018,0.994957983,0.99436003,0.99436599,0.993999004,0.993229985,0.994975984,0.995023012,0.996111989,0.995570004,0.99624002,0.997160971,0.999045014,0.999293029,1.001639962,1.00238204,1.00236702,1.002967954,1.002920032,1.002936959,1.001045942,1.000622034,1.00061202,0.999403
1189.599976,0.98369,1.113491239,0.975140989,0.97766,0.977281988,0.97062403,0.981962979,0.980567992,0.984485984,0.996167004,0.993550003,0.994360983,0.993909001,0.993692994,0.994563997,0.994368017,0.993112028,0.995549977,0.995633006,0.997183025,0.996589005,0.996815979,0.997829974,0.999199986,0.998737991,1.001191974,1.001508951,1.001461983,1.002048969,1.002035022,1.002056956,1.000360012,1.000324011,1.000331998,0.999275029
1209.569946,0.983714,1.110640978,0.975404978,0.977901995,0.977420986,0.969510972,0.981454015,0.981429994,0.985597014,0.994277,0.993315995,0.994251013,0.993833005,0.993984997,0.995536029,0.995582998,0.994037986,0.996623993,0.996661007,0.998320997,0.997837007,0.997368991,0.998333991,0.998780012,0.997482002,0.999736011,0.999635994,0.999610007,1.000120997,1.000162959,1.000203967,0.999568999,0.999854982,0.999867022,0.999410987
1229.530029,0.985456,1.111320003,0.979322016,0.981489003,0.981454015,0.974282026,0.984817982,0.985984027,0.990128994,0.995590985,0.996577024,0.997671008,0.997340977,0.99801898,1.00030005,1.000555992,0.998790026,1.001539946,1.001603961,1.003394008,1.002979994,1.002256989,1.002923012,1.002612948,1.001229048,1.002536058,1.001906991,1.001863956,1.001994967,1.002064943,1.002102971,1.002228022,1.002792954,1.002794027,1.003054976
1249.48999,0.986355,1.111631061,0.982041001,0.984063983,0.984546006,0.977768004,0.987366974,0.98921603,0.993272007,0.996030986,0.99833101,0.99940002,0.999149024,1.000077963,1.002395988,1.003139973,1.001381993,1.003417015,1.003335953,1.004861951,1.004781961,1.003198981,1.00376296,1.00247705,1.000468016,1.00109005,1.000429034,1.000367999,1.000424027,1.00050199,1.000529051,1.002293944,1.002830982,1.002820015,1.003736019
1269.449951,0.983469,1.108023383,0.981468976,0.983213007,0.983878016,0.976908028,0.985964,0.988988996,0.992980003,0.992582023,0.996290982,0.997358978,0.997232974,0.998398006,1.000900984,1.001822948,1.000211,1.001760006,1.001718044,1.002691031,1.002781987,1.001273036,1.001319051,0.99961102,0.998059988,0.997460008,0.996629,0.996594012,0.996261001,0.996367991,0.996345997,0.99830699,0.998714983,0.998687983,0.999837995
1289.410034,0.983539,1.107899004,0.98428297,0.985670984,0.986543,0.981197,0.987820983,0.992039979,0.995769024,0.991898,0.997227013,0.998274028,0.998292983,0.999733984,1.002524972,1.003453016,1.002014995,1.003430009,1.003450036,1.004070044,1.004112005,1.003417015,1.002810955,1.001302958,1.001109958,0.999098003,0.99792701,0.997923017,0.997084975,0.99712801,0.99713397,0.997924984,0.998176992,0.998144984,0.998997986
