 400.0 -100.   9.0729  11.6725  11.5785
 400.0   88.   2.3412   2.2659   2.2570
 400.0   89.   2.3785   2.3059   2.2972
 400.0   90.   2.4268   2.3473   2.3388
 400.0   91.   2.4875   2.3951   2.3819
 400.0   92.   2.5404   2.4398   2.4313
 400.0   93.   2.5957   2.4915   2.4779
 400.0   94.   2.6652   2.5400   2.5264
 400.0   95.   2.7260   2.5960   2.5820
 400.0   96.   2.8028   2.6546   2.6401
 400.0   97.   2.8841   2.7159   2.6952
 400.0   98.   2.9701   2.7801   2.7585
 400.0   99.   3.0615   2.8475   2.8249
 400.0  100.   3.1755   2.9181   2.8946
 410.0 -100.   8.7562  11.2854  11.2034
 410.0  -99.   8.1994  10.4081  10.3339
 410.0  -98.   7.6969   9.6611   9.5915
 410.0  -97.   7.2417   8.9815   8.9354
 410.0  -96.   6.8585   8.3962   8.3522
 410.0  -95.   6.4790   7.8729   7.8307
 410.0  -94.   6.1581   7.4027   7.3622
 410.0  -93.   5.8381   6.9782   6.9393
 410.0  -92.   5.5666   6.5804   6.5560
 410.0  -91.   5.3151   6.2312   6.2183
 410.0  -90.   5.0818   5.9124   5.8992
 410.0  -89.   4.8649   5.6203   5.6069
 410.0  -88.   4.6629   5.3520   5.3384
 410.0  -87.   4.4910   5.1047   5.0911
 410.0  -86.   4.3138   4.8851   4.8705
 410.0  -85.   4.1480   4.6731   4.6585
 410.0  -84.   4.0066   4.4763   4.4618
 410.0  -83.   3.8599   4.2934   4.2789
 410.0  -82.   3.7347   4.1229   4.1148
 410.0  -81.   3.6042   3.9637   3.9554
 410.0  -80.   3.4927   3.8148   3.8063
 410.0  -79.   3.3761   3.6753   3.6666
 410.0  -78.   3.2764   3.5444   3.5356
 410.0  -77.   3.1717   3.4214   3.4125
 410.0  -76.   3.0822   3.3057   3.3012
 410.0  -75.   2.9878   3.1966   3.1919
 410.0  -74.   2.9071   3.0937   3.0887
 410.0  -73.   2.8302   2.9964   2.9872
 410.0  -72.   2.7487   2.9044   2.8952
 410.0  -71.   2.6790   2.8173   2.8081
 410.0  -70.   2.6049   2.7309   2.7255
 410.0  -69.   2.5343   2.6527   2.6471
 410.0  -68.   2.4739   2.5748   2.5695
 410.0  -67.   2.4094   2.5044   2.4989
 410.0  -66.   2.3478   2.4340   2.4287
 410.0  -65.   2.2890   2.3702   2.3620
 410.0  -64.   2.2327   2.3064   2.2985
 410.0  -63.   2.1847   2.2456   2.2406
 410.0  -62.   2.1274   2.1877   2.1803
 410.0  -61.   2.0781   2.1297   2.1252
 410.0  -60.   2.0308   2.0770   2.0726
 410.0  -59.   1.9854   2.0266   2.0201
 410.0  -58.   1.9371   1.9761   1.9722
 410.0  -57.   1.8954   1.9278   1.9242
 410.0  -56.   1.8510   1.8816   1.8783
 410.0  -55.   1.8084   1.8374   1.8344
 410.0  -54.   1.7717   1.7951   1.7905
 410.0  -53.   1.7324   1.7526   1.7503
 410.0  -52.   1.6947   1.7139   1.7101
 410.0  -51.   1.6548   1.6748   1.6715
 410.0  -50.   1.6201   1.6374   1.6329
 410.0  -49.   1.5868   1.5999   1.5975
 410.0  -48.   1.5514   1.5655   1.5620
 410.0  -47.   1.5175   1.5310   1.5280
 410.0  -46.   1.4849   1.4978   1.4953
 410.0  -45.   1.4536   1.4645   1.4626
 410.0  -44.   1.4236   1.4340   1.4313
 410.0  -43.   1.3919   1.4034   1.4012
 410.0  -42.   1.3643   1.3739   1.3723
 410.0  -41.   1.3351   1.3444   1.3434
 410.0  -40.   1.3070   1.3173   1.3156
 410.0  -39.   1.2801   1.2888   1.2878
 410.0  -38.   1.2543   1.2627   1.2622
 410.0  -37.   1.2272   1.2364   1.2356
 410.0  -36.   1.2033   1.2113   1.2110
 410.0  -35.   1.1783   1.1871   1.1864
 410.0  -34.   1.1543   1.1628   1.1628
 410.0  -33.   1.1293   1.1395   1.1393
 410.0  -32.   1.1073   1.1162   1.1166
 410.0  -31.   1.0842   1.0939   1.0941
 410.0  -30.   1.0621   1.0724   1.0724
 410.0  -29.   1.0409   1.0509   1.0508
 410.0  -28.   1.0190   1.0303   1.0301
 410.0  -27.   0.9994   1.0097   1.0102
 410.0  -26.   0.9777   0.9899   0.9904
 410.0  -25.   0.9583   0.9702   0.9707
 410.0  -24.   0.9384   0.9513   0.9518
 410.0  -23.   0.9192   0.9324   0.9331
 410.0  -22.   0.9009   0.9144   0.9151
 410.0  -21.   0.8820   0.8964   0.8972
 410.0  -20.   0.8628   0.8785   0.8795
 410.0  -19.   0.8444   0.8608   0.8625
 410.0  -18.   0.8258   0.8438   0.8452
 410.0  -17.   0.8080   0.8270   0.8286
 410.0  -16.   0.7889   0.8098   0.8118
 410.0  -15.   0.7708   0.7929   0.7952
 410.0  -14.   0.7517   0.7762   0.7784
 410.0  -13.   0.7328   0.7593   0.7615
 410.0  -12.   0.7139   0.7419   0.7445
 410.0  -11.   0.6937   0.7240   0.7268
